,Country,ISO_Name,ISO_Alpha,ISO_Code,Confederation,World Rank,Attack,Defense,Stochastic_Attributes,P,GF,GA,CS,WC_P,WC_GF,WC_GA,WC_CS,GS,RO16,QF,SF,F,Wins
0,Japan,Japan,JPN,392.0,AFC,18.0,1.2,1.15,,16,36,7,0,0,0,0,0,0,0,0,0,0,0
1,Iran,Iran (Islamic Republic of),IRN,364.0,AFC,20.0,1.15,1.1,,16,32,6,0,0,0,0,0,0,0,0,0,0,0
2,South Korea,Korea (the Republic of),KOR,410.0,AFC,22.0,1.15,1.1,,16,24,13,0,0,0,0,0,0,0,0,0,0,0
3,Australia,Australia,AUS,36.0,AFC,23.0,0.95,0.9,,14,17,14,0,0,0,0,0,0,0,0,0,0,0
4,Qatar,Qatar,QAT,634.0,AFC,37.0,0.9,0.9,,18,21,13,0,0,0,0,0,0,0,0,0,0,0
5,Saudi Arabia,Saudi Arabia,SAU,682.0,AFC,53.0,0.95,0.95,,16,34,12,0,0,0,0,0,0,0,0,0,0,0
6,Iraq,Iraq,IRQ,368.0,AFC,59.0,0.85,0.75,,16,33,9,0,0,0,0,0,0,0,0,0,0,0
7,Uzbekistan,Uzbekistan,UZB,860.0,AFC,66.0,0.75,0.75,,16,12,9,0,0,0,0,0,0,0,0,0,0,0
8,UAE,United Arab Emirates (the),ARE,784.0,AFC,69.0,0.8,0.8,,18,21,17,0,0,0,0,0,0,0,0,0,0,0
9,Jordan,Jersey,JEY,832.0,AFC,70.0,0.65,0.65,,21,21,21,0,0,0,0,0,0,0,0,0,0,0
10,Oman,Oman,OMN,512.0,AFC,80.0,0.7,0.75,,6,4,7,0,0,0,0,0,0,0,0,0,0,0
11,Bahrain,Bahrain,BHR,48.0,AFC,82.0,0.55,0.6,,18,22,17,0,0,0,0,0,0,0,0,0,0,0
12,China,China,CHN,156.0,AFC,88.0,0.7,0.7,,21,20,14,0,0,0,0,0,0,0,0,0,0,0
13,Syria,Syrian Arab Republic (the),SYR,760.0,AFC,89.0,0.75,0.75,,16,14,17,0,0,0,0,0,0,0,0,0,0,0
14,Tajikistan,Tajikistan,TJK,762.0,AFC,99.0,0.48,0.5,,6,2,7,0,0,0,0,0,0,0,0,0,0,0
15,Thailand,Thailand,THA,764.0,AFC,101.0,0.65,0.55,,6,7,8,0,0,0,0,0,0,0,0,0,0,0
16,Kyrgyzstan,Kyrgyzstan,KGZ,417.0,AFC,104.0,0.45,0.55,,6,2,6,0,0,0,0,0,0,0,0,0,0,0
17,Vietnam,Viet Nam,VNM,704.0,AFC,105.0,0.6,0.6,,18,20,25,0,0,0,0,0,0,0,0,0,0,0
18,North Korea,Korea (the Democratic People's Republic of),PRK,408.0,AFC,114.0,0.57,0.55,,4,2,8,0,0,0,0,0,0,0,0,0,0,0
