,Name,Country,Confederation,Position,Attack,Passing,P,Goals,Assists,WC_P,WC_Goals,WC_Assists
0,Eiji Kawashima,Japan,AFC,GK,0,0,16,0,0,0,0,0
1,Yugo Nagtomo,Japan,AFC,DEF,2,2,16,3,4,0,0,0
2,Hiroki Sakai,Japan,AFC,DEF,3,2,16,1,0,0,0,0
3,Maya Yoshida,Japan,AFC,DEF,3,5,16,3,1,0,0,0
4,Takehiro Tomiyasu,Japan,AFC,DEF,1,5,16,0,1,0,0,0
5,Wataru Endo,Japan,AFC,MID,2,4,16,1,4,0,0,0
6,Makoto Hasebe,Japan,AFC,MID,3,4,16,4,2,0,0,0
7,Takumi Minamino,Japan,AFC,MID,7,10,16,8,3,0,0,0
8,Takefusi Kubo,Japan,AFC,MID,7,10,16,1,7,0,0,0
9,Musashi Suzuki,Japan,AFC,ATK,8,8,16,6,4,0,0,0
10,Takuma Asano,Japan,AFC,ATK,9,8,16,9,3,0,0,0
11,Alireza Beiranvand,Iran,AFC,GK,0,0,16,0,0,0,0,0
12,Hossein Kanaanizadegan,Iran,AFC,DEF,2,2,16,3,1,0,0,0
13,Sadegh Moharrami,Iran,AFC,DEF,3,2,16,2,1,0,0,0
14,Milad Mohammadi,Iran,AFC,DEF,2,5,16,2,2,0,0,0
15,Morteza Pouraliganji,Iran,AFC,DEF,2,5,16,2,2,0,0,0
16,Valid Amiri,Iran,AFC,MID,4,4,16,3,3,0,0,0
17,Ehsan Hajsafi,Iran,AFC,MID,5,4,16,1,2,0,0,0
18,Medhi Torabi,Iran,AFC,MID,5,10,16,2,3,0,0,0
19,Alireza Jahanbakhsh,Iran,AFC,MID,8,10,16,7,5,0,0,0
20,Medhi Taremi,Iran,AFC,ATK,9,8,16,6,1,0,0,0
21,Sardar Azmoun,Iran,AFC,ATK,10,8,16,4,5,0,0,0
22,Jo Hyeon-Woo,South Korea,AFC,GK,0,0,16,0,0,0,0,0
23,Kim Jin-su,South Korea,AFC,DEF,2,2,16,1,0,0,0,0
24,Kwon Kyung-won,South Korea,AFC,DEF,3,2,16,7,1,0,0,0
25,Kim Min-jae,South Korea,AFC,DEF,1,5,16,0,3,0,0,0
26,Hong Chul,South Korea,AFC,DEF,1,5,16,1,1,0,0,0
27,Lee Chung-yong,South Korea,AFC,MID,3,4,16,1,1,0,0,0
28,Nam Tae-hee,South Korea,AFC,MID,3,4,16,1,1,0,0,0
29,Lee Jae-sung,South Korea,AFC,MID,5,10,16,2,4,0,0,0
30,Hwang Hee-chan,South Korea,AFC,ATK,9,10,16,3,1,0,0,0
31,Hwang Ui-jo,South Korea,AFC,ATK,8,8,16,4,2,0,0,0
32,Son Heuing-min,South Korea,AFC,ATK,15,8,16,4,4,0,0,0
33,Matthew Ryan,Australia,AFC,GK,0,0,14,0,0,0,0,0
34,Milos Degenek,Australia,AFC,DEF,1,2,14,0,0,0,0,0
35,Bailey Wright,Australia,AFC,DEF,1,2,14,1,0,0,0,0
36,Aziz Behich,Australia,AFC,DEF,1,5,14,1,3,0,0,0
37,Harry Soutar,Australia,AFC,DEF,2,5,14,1,1,0,0,0
38,Trent Salisbury,Australia,AFC,DEF,2,4,14,2,0,0,0,0
39,Jackson Irvine,Australia,AFC,MID,5,4,14,3,2,0,0,0
40,Aaron Mooy,Australia,AFC,MID,5,10,14,1,2,0,0,0
41,Tom Rogic,Australia,AFC,MID,6,10,14,2,1,0,0,0
42,Awer Mabil,Australia,AFC,ATK,7,8,14,5,3,0,0,0
43,Adam Taggart,Australia,AFC,ATK,9,8,14,1,1,0,0,0
44,Saad Al Sheeb,Qatar,AFC,GK,0,0,18,0,0,0,0,0
45,Ro-Ro,Qatar,AFC,DEF,1,2,18,1,3,0,0,0
46,Abdelkarim Hassan ,Qatar,AFC,DEF,3,2,18,1,2,0,0,0
47,Boualem Khoukhi,Qatar,AFC,DEF,4,5,18,3,0,0,0,0
48,Al-Madhi Al Mukhtar,Qatar,AFC,DEF,2,5,18,1,1,0,0,0
49,Karim Boudaif,Qatar,AFC,MID,4,4,18,4,3,0,0,0
50,Abdulaziz Hatem,Qatar,AFC,MID,3,4,18,2,0,0,0,0
51,Mohamed Waad,Qatar,AFC,MID,3,10,18,1,1,0,0,0
52,Hassan Al-Haydos,Qatar,AFC,ATK,7,10,18,0,7,0,0,0
53,Akram Afif,Qatar,AFC,ATK,10,8,18,6,1,0,0,0
54,Almoez Azi,Qatar,AFC,ATK,10,8,18,2,1,0,0,0
55,Mohammed Al-Rubaie,Saudi Arabia,AFC,GK,0,0,16,0,0,0,0,0
56,Ali Al-Bulaihi,Saudi Arabia,AFC,DEF,1,2,16,1,2,0,0,0
57,Mohammed Al-Breik,Saudi Arabia,AFC,DEF,1,2,16,2,0,0,0,0
58,Mohammed Al-Khabrani,Saudi Arabia,AFC,DEF,2,5,16,0,2,0,0,0
59,Yasser Al-Shahrani,Saudi Arabia,AFC,DEF,2,5,16,0,0,0,0,0
60,Hattan Bahberi,Saudi Arabia,AFC,MID,4,4,16,3,1,0,0,0
61,Nawaf Al-Abed,Saudi Arabia,AFC,MID,4,4,16,4,4,0,0,0
62,Salman Al-Faraj,Saudi Arabia,AFC,MID,6,10,16,4,4,0,0,0
63,Salem Al-Dawsari,Saudi Arabia,AFC,MID,6,10,16,3,11,0,0,0
64,Abdullah Al-Hamdan,Saudi Arabia,AFC,ATK,10,8,16,8,3,0,0,0
65,Firas al-Buraikan,Saudi Arabia,AFC,ATK,10,8,16,9,3,0,0,0
66,Jalal Hassan,Iraq,AFC,GK,0,0,16,0,0,0,0,0
