Name,Nation,City,Capacity,Lat,Lon,Image
Estadio Azteca,Mexico,Mexico City,15000,19.3030429371736,-99.1505598843338,estadio_azteca.png
Estadio BBVA,Mexico,Monterrey,15001,25.6692920406996,-100.244564567997,estadio_azteca.png
Estadio Akron,Mexico,Guadalajara,15002,20.683098280922,-103.462902121686,estadio_azteca.png
Hard Rock Stadium,USA,Miami,15003,25.958130456552,-80.2388282105538,estadio_azteca.png
Levi’s Stadium,USA,San Francisco,15004,37.4035295291244,-121.969388122923,estadio_azteca.png
Lincoln Financial Field,USA,Philadelphia,15005,39.9014764564189,-75.1674893102596,estadio_azteca.png
Mercedez-Benz Stadium,USA,Atlanta,15006,33.7555283250553,-84.4006012238963,estadio_azteca.png
MetLife Stadium,USA,New York,15007,40.8135631976012,-74.0743926252585,estadio_azteca.png
AT&T Stadium,USA,Dallas,15008,32.7474287401592,-97.0944831678328,estadio_azteca.png
Arrowhead Stadium,USA,Kansas City,15009,39.049139031396,-94.4840122540254,estadio_azteca.png
BC Place,Canada,Vancouver,15010,49.2768759517397,-123.112052639118,estadio_azteca.png
