Country,ISO_Name,ISO_Alpha,ISO_Code,Confederation,World Rank,Attack,Defense,Stochastic_Attributes,P,GF,GA,CS,WC_P,WC_GF,WC_GA,WC_CS,GS,RO16,QF,SF,F,Wins
Japan,Japan,JPN,392,AFC,18,1.2,1.15,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iran,Iran (Islamic Republic of),IRN,364,AFC,20,1.15,1.1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Korea,Korea (the Republic of),KOR,410,AFC,22,1.15,1.1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,Australia,AUS,36,AFC,23,0.95,0.9,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Qatar,Qatar,QAT,634,AFC,37,0.9,0.9,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saudi Arabia,Saudi Arabia,SAU,682,AFC,53,0.95,0.95,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iraq,Iraq,IRQ,368,AFC,59,0.85,0.75,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uzbekistan,Uzbekistan,UZB,860,AFC,66,0.75,0.75,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UAE,United Arab Emirates (the),ARE,784,AFC,69,0.8,0.8,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan,Jersey,JEY,832,AFC,70,0.65,0.65,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oman,Oman,OMN,512,AFC,80,0.7,0.75,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahrain,Bahrain,BHR,48,AFC,82,0.55,0.6,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China,China,CHN,156,AFC,88,0.7,0.7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Syria,Syrian Arab Republic (the),SYR,760,AFC,89,0.75,0.75,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tajikistan,Tajikistan,TJK,762,AFC,99,0.48,0.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thailand,Thailand,THA,764,AFC,101,0.65,0.55,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyrgyzstan,Kyrgyzstan,KGZ,417,AFC,104,0.45,0.55,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vietnam,Viet Nam,VNM,704,AFC,105,0.6,0.6,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Korea,Korea (the Democratic People's Republic of),PRK,408,AFC,114,0.57,0.55,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lebanon,Lebanon,LBN,422,AFC,115,0.7,0.65,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,India,IND,356,AFC,117,0.6,0.6,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malaysia,Malaysia,MYS,458,AFC,132,0.55,0.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kuwait,Kuwait,KWT,414,AFC,137,0.5,0.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Philippines,Philippines (the),PHL,608,AFC,139,0.52,0.55,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Turkmenistan,TKM,795,AFC,141,0.48,0.48,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia,Indonesia,IDN,360,AFC,142,0.45,0.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yemen,Yemen,YEM,887,AFC,151,0.6,0.55,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taipei,Taiwan (Province of China),TWN,158,AFC,153,0.45,0.4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hong Kong,Hong Kong,HKG,344,AFC,154,0.4,0.4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Singapore,Singapore,SGP,702,AFC,156,0.4,0.4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,Afghanistan,AFG,4,AFC,158,0.5,0.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maldives,Maldives,MDV,462,AFC,161,0.4,0.35,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myanmar,Myanmar,MMR,104,AFC,162,0.48,0.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nepal,Nepal,NPL,524,AFC,175,0.4,0.42,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cambodia,Cambodia,KHM,116,AFC,179,0.39,0.4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,Bangladesh,BGD,50,AFC,183,0.3,0.35,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhutan,Bhutan,BTN,64,AFC,184,0.3,0.3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macau,Macao,MAC,446,AFC,187,0.32,0.32,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Laos,Lao People's Democratic Republic (the),LAO,418,AFC,189,0.3,0.3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mongolia,Mongolia,MNG,496,AFC,190,0.3,0.27,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brunei,Brunei Darussalam,BRN,96,AFC,194,0.27,0.25,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
