Name,Country,Confederation,Position,Attack,Passing,P,Goals,Assists,WC_P,WC_Goals,WC_Assists
Eiji Kawashima,Japan,AFC,GK,0,0,0,0,0,0,0,0
Yugo Nagtomo,Japan,AFC,DEF,2,2,0,0,0,0,0,0
Hiroki Sakai,Japan,AFC,DEF,3,2,0,0,0,0,0,0
Maya Yoshida,Japan,AFC,DEF,3,5,0,0,0,0,0,0
Takehiro Tomiyasu,Japan,AFC,DEF,1,5,0,0,0,0,0,0
Wataru Endo,Japan,AFC,MID,2,4,0,0,0,0,0,0
Makoto Hasebe,Japan,AFC,MID,3,4,0,0,0,0,0,0
Takumi Minamino,Japan,AFC,MID,7,10,0,0,0,0,0,0
Takefusi Kubo,Japan,AFC,MID,7,10,0,0,0,0,0,0
Musashi Suzuki,Japan,AFC,ATK,8,8,0,0,0,0,0,0
Takuma Asano,Japan,AFC,ATK,9,8,0,0,0,0,0,0
Alireza Beiranvand,Iran,AFC,GK,0,0,0,0,0,0,0,0
Hossein Kanaanizadegan,Iran,AFC,DEF,2,2,0,0,0,0,0,0
Sadegh Moharrami,Iran,AFC,DEF,3,2,0,0,0,0,0,0
Milad Mohammadi,Iran,AFC,DEF,2,5,0,0,0,0,0,0
Morteza Pouraliganji,Iran,AFC,DEF,2,5,0,0,0,0,0,0
Valid Amiri,Iran,AFC,MID,4,4,0,0,0,0,0,0
Ehsan Hajsafi,Iran,AFC,MID,5,4,0,0,0,0,0,0
Medhi Torabi,Iran,AFC,MID,5,10,0,0,0,0,0,0
Alireza Jahanbakhsh,Iran,AFC,MID,8,10,0,0,0,0,0,0
Medhi Taremi,Iran,AFC,ATK,9,8,0,0,0,0,0,0
Sardar Azmoun,Iran,AFC,ATK,10,8,0,0,0,0,0,0
Jo Hyeon-Woo,South Korea,AFC,GK,0,0,0,0,0,0,0,0
Kim Jin-su,South Korea,AFC,DEF,2,2,0,0,0,0,0,0
Kwon Kyung-won,South Korea,AFC,DEF,3,2,0,0,0,0,0,0
